# delay_800pp, ch0_on, ch1_on, ch2_on, ch3_on, ch4_on, ch5_on, ch6_on, ch7_on, ch0_off, ch1_off, ch2_off, ch3_off, ch4_off, ch5_off, ch6_off, ch7_off, ch0_on_std, ch1_on_std, ch2_on_std, ch3_on_std, ch4_on_std, ch5_on_std, ch6_on_std, ch7_on_std, ch0_off_std, ch1_off_std, ch2_off_std, ch3_off_std, ch4_off_std, ch5_off_std, ch6_off_std, ch7_off_std, ch0_on_npulses, ch1_on_npulses, ch2_on_npulses, ch3_on_npulses, ch4_on_npulses, ch5_on_npulses, ch6_on_npulses, ch7_on_npulses, ch0_off_npulses, ch1_off_npulses, ch2_off_npulses, ch3_off_npulses, ch4_off_npulses, ch5_off_npulses, ch6_off_npulses, ch7_off_npulses, 
-9.113145271747861721e-10 1.174329929687500044e+04 8.676156607421875378e+03 1.438907868896484388e+03 1.671220092773437471e-01 5.195303344726562855e-01 2.322119140625000105e-02 4.963867187500000180e-03 -4.038830566406249878e-02 1.174033997851562526e+04 1.019894410400390683e+02 1.437834515624999995e+03 7.560006713867187256e-02 6.321636352539062864e-01 6.630334472656250477e-02 -1.692330322265624964e-01 4.665612792968749922e-02 2.491143934139736160e+01 9.500340015954334305e+00 9.617536979725606727e+00 3.114833657398465849e+00 2.402449451110900913e+00 4.488211622223086117e+00 4.097807328627125045e+00 4.621071759358120978e+00 2.430390185263831526e+01 7.635905229382287551e+00 9.712503153022369773e+00 3.191853484455919876e+00 2.436977065858128011e+00 4.378536990362872139e+00 4.056571111479841285e+00 4.492876969818781596e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.112894770125868871e-10 1.173982527734375071e+04 8.676204144531249767e+03 1.438280781005859353e+03 5.968331909179687422e-02 6.110591430664062962e-01 4.908898925781250006e-02 1.878803710937499982e-01 4.414624023437500183e-02 1.174406964453124965e+04 1.008651755218505883e+02 1.437383280273437549e+03 1.506835632324218799e-01 5.251400756835937766e-01 -1.544693603515625013e-01 1.805411987304687549e-01 -2.551340332031249991e-01 2.444950726683377695e+01 9.535677432986727098e+00 9.801907272028696383e+00 3.118580485304197847e+00 2.471335392356053262e+00 4.437084106429916019e+00 4.158288411629879278e+00 4.776229239370210600e+00 2.398146255132812499e+01 7.649945863454755468e+00 9.876296915663441922e+00 3.110003521477089361e+00 2.476659118977684315e+00 4.620537677867325499e+00 4.139752576008727480e+00 4.833488066506802738e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.112643201120133104e-10 1.174234187695312539e+04 8.675421476562500175e+03 1.439862451171874909e+03 2.025564575195312397e-02 4.736662597656249862e-01 -9.116430664062499800e-02 -3.192779541015625111e-02 3.104210205078125062e-01 1.174152653124999961e+04 1.014464489440917987e+02 1.438783891601562573e+03 7.105487060546875067e-02 3.604229736328125044e-01 -2.719722900390624809e-01 -2.093572998046875147e-02 1.974097900390625049e-01 2.489750689237973091e+01 9.578380292892862968e+00 9.748479744164972871e+00 3.011628782543119165e+00 2.402183266539036577e+00 4.536658038100285673e+00 4.144390298217951241e+00 4.664832141906082974e+00 2.413135201235296279e+01 7.869982756502400534e+00 9.601353855357297462e+00 3.147627760406850772e+00 2.647229634043622326e+00 4.310112554711298394e+00 4.083352749507020540e+00 4.740990185024232417e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.112395234534527745e-10 1.174294736718750028e+04 8.676012742187500407e+03 1.438656190673828178e+03 1.219220886230468759e-01 5.957061157226563042e-01 -2.269084472656250073e-01 1.335717163085937409e-01 9.615759277343749467e-02 1.174001931640624935e+04 1.022804817047119172e+02 1.437902327148437507e+03 1.424224853515624889e-01 4.169324951171874960e-01 -5.104998779296875122e-02 7.915039062499999722e-02 -2.096716308593750064e-02 2.484397689913766882e+01 9.835880697954843654e+00 1.017485279192175973e+01 3.067893786180690530e+00 2.616656520485955983e+00 4.633273191130389712e+00 4.022732905756468469e+00 4.815883526846115537e+00 2.457924438091881925e+01 7.888135427663812038e+00 1.007665036184725516e+01 3.117376478605184964e+00 2.599280821691065224e+00 4.418412514098872812e+00 3.996560143640944585e+00 4.751662759515503431e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.112144265932148596e-10 1.174054284765625016e+04 8.676653828124999563e+03 1.439188806152343659e+03 1.650000000000000078e-02 4.399358520507812287e-01 -6.953430175781249827e-03 -2.547146606445312433e-01 -1.565332031249999922e-01 1.174280424999999923e+04 1.016395590972900322e+02 1.438405783691406214e+03 7.961691284179688022e-02 6.028002319335937775e-01 -7.016882324218749745e-02 -1.496917724609374972e-02 3.270323486328124973e-01 2.511640608362653992e+01 9.794834296795039918e+00 9.606063076307481907e+00 3.139044753734696602e+00 2.551784916785420076e+00 4.330640931666980720e+00 3.943593339868293413e+00 4.651490341235813730e+00 2.398189360468613174e+01 7.928970368594130846e+00 9.686475114078710646e+00 3.033315746865073326e+00 2.500228372035721680e+00 4.692682606400236267e+00 4.054455209852895869e+00 5.042602569056443329e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.111894298002026688e-10 1.173974104687500039e+04 8.676419419921874578e+03 1.438564965576171971e+03 1.270661621093749916e-01 5.068205566406249751e-01 8.502709960937500366e-02 -2.383105468749999872e-02 1.014117431640624983e-01 1.174325912890624932e+04 1.020651469726562510e+02 1.437647521484374920e+03 8.399465942382812467e-02 4.548500976562500075e-01 -2.155493774414062591e-01 -1.273587036132812489e-01 -3.844912109374999942e-01 2.440787209596070895e+01 9.234969174231071776e+00 9.945452232876606402e+00 3.135970083935344377e+00 2.451630308027286986e+00 4.441580999134776775e+00 3.853416148206494807e+00 4.800530009955304322e+00 2.460989939582068686e+01 8.232997139209722093e+00 1.007834000346736403e+01 3.082454175233432903e+00 2.485852568901838033e+00 4.633608077935023495e+00 4.200554268591387697e+00 4.772659570739173240e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.111645264032677377e-10 1.174326716796875007e+04 8.676509468750000451e+03 1.438566153076171986e+03 -2.022552490234375173e-03 3.069302368164062433e-01 2.517607421874999973e-01 6.181463623046874745e-02 -1.702674560546874882e-01 1.173977539257812532e+04 1.027142653961181651e+02 1.437529420898437593e+03 9.235543823242187145e-02 6.266737060546875293e-01 -7.633422851562500153e-03 6.572814941406250611e-02 1.442659912109374998e-01 2.322731435808937661e+01 9.459332628540678911e+00 9.769324588235969387e+00 3.148465136337187165e+00 2.347919264357843705e+00 4.405687622919723268e+00 4.011073145926715711e+00 4.848409657381392179e+00 2.418164892869814153e+01 8.229306603684516830e+00 9.832241372137477953e+00 2.986773559388909760e+00 2.548530788704327144e+00 4.470094407784659829e+00 4.164664135696080294e+00 4.634772131760680480e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.111394295430297195e-10 1.174104115039062526e+04 8.675831404296874098e+03 1.441183662841796831e+03 1.256943969726562471e-01 4.306408081054687309e-01 3.308587036132812353e-01 -4.973895263671875011e-02 2.159097900390624936e-01 1.174107000976562449e+04 1.017874163818359392e+02 1.440053595458984319e+03 1.134111633300781269e-01 6.123663330078125133e-01 8.408264160156249389e-02 4.019531249999999667e-03 8.983276367187499611e-02 2.430179323579168127e+01 9.211027655878975651e+00 9.697849724488936118e+00 3.144142480598676404e+00 2.497098652288601617e+00 4.474366804953458399e+00 4.369410779868237782e+00 4.988163402907187738e+00 2.464354142772229395e+01 8.054732956627612239e+00 9.950524914977680879e+00 3.128276489912918734e+00 2.242996200968454090e+00 4.581195387749316339e+00 4.273858493273618109e+00 4.715022743188482579e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.111144794480564687e-10 1.173963882812500015e+04 8.676099697265624854e+03 1.440435211425781290e+03 7.451690673828124944e-02 5.013035278320312482e-01 6.513323974609375178e-02 2.709489135742187416e-01 3.339790039062500160e-01 1.174303453124999942e+04 1.017150204620361365e+02 1.439192275390624900e+03 1.172890014648437507e-01 4.976398925781250204e-01 1.042675781249999961e-02 8.095855712890624722e-02 -1.026336669921874972e-01 2.343638170302456203e+01 9.383858070930132911e+00 9.777047189209120859e+00 3.134008255537374943e+00 2.473917294622775209e+00 4.533385447207479935e+00 3.895777991888495162e+00 4.718874070128117104e+00 2.413003242450974639e+01 7.789340847068801921e+00 9.705459295120673957e+00 3.125928856759554897e+00 2.584731825464285038e+00 4.414192626154488153e+00 4.065023146369332707e+00 4.809924252381174270e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
-9.110896427626055605e-10 1.174305705859374939e+04 8.675720087890624200e+03 1.438376642822265694e+03 7.819998168945312134e-02 6.818126220703124574e-01 -1.263956298828124991e-01 6.421875000000000500e-02 -1.377673339843749935e-02 1.173938890820312554e+04 1.018299958953857356e+02 1.437382427978515580e+03 1.757611999511718703e-01 5.957166748046874849e-01 1.750728759765624865e-01 3.541745605468750169e-01 -7.635607910156250178e-02 2.427612090945308765e+01 9.369835737100506989e+00 9.684253154104013106e+00 3.220966546398109642e+00 2.475115263221651318e+00 4.317793281835895947e+00 4.178728535500504826e+00 4.856664785396402451e+00 2.417527833282178662e+01 7.798818926320675970e+00 9.786092103256962105e+00 3.194229157955293719e+00 2.535434559372246710e+00 4.804052214542458898e+00 4.069000962997668225e+00 4.572823572760995603e+00 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02 5.000000000000000000e+02
